| end of split 183 /500 | epoch   1 | time: 12.99s | valid loss 1.2809 | valid ppl 3.6000 | learning rate 1.2500
| end of split 184 /500 | epoch   1 | time: 13.14s | valid loss 1.2768 | valid ppl 3.5853 | learning rate 1.2500
| end of split 185 /500 | epoch   1 | time: 12.87s | valid loss 1.2738 | valid ppl 3.5744 | learning rate 1.2500
| end of split 186 /500 | epoch   1 | time: 12.84s | valid loss 1.2735 | valid ppl 3.5734 | learning rate 1.2500
| end of split 187 /500 | epoch   1 | time: 12.68s | valid loss 1.2728 | valid ppl 3.5707 | learning rate 1.2500
| end of split 188 /500 | epoch   1 | time: 12.83s | valid loss 1.2791 | valid ppl 3.5933 | learning rate 1.2500
| end of split 189 /500 | epoch   1 | time: 13.05s | valid loss 1.2777 | valid ppl 3.5882 | learning rate 1.2500
| end of split 190 /500 | epoch   1 | time: 12.71s | valid loss 1.2723 | valid ppl 3.5690 | learning rate 1.2500
| end of split 191 /500 | epoch   1 | time: 12.80s | valid loss 1.2730 | valid ppl 3.5715 | learning rate 1.2500
| end of split 192 /500 | epoch   1 | time: 12.77s | valid loss 1.2725 | valid ppl 3.5699 | learning rate 1.2500
| end of split 193 /500 | epoch   1 | time: 13.15s | valid loss 1.2699 | valid ppl 3.5605 | learning rate 1.2500
| end of split 194 /500 | epoch   1 | time: 13.23s | valid loss 1.2702 | valid ppl 3.5617 | learning rate 1.2500
| end of split 195 /500 | epoch   1 | time: 13.20s | valid loss 1.2761 | valid ppl 3.5828 | learning rate 1.2500
| end of split 196 /500 | epoch   1 | time: 13.56s | valid loss 1.2714 | valid ppl 3.5657 | learning rate 1.2500
| end of split 197 /500 | epoch   1 | time: 12.98s | valid loss 1.2755 | valid ppl 3.5804 | learning rate 1.2500
| end of split 198 /500 | epoch   1 | time: 13.01s | valid loss 1.2740 | valid ppl 3.5749 | learning rate 1.2500
| end of split 199 /500 | epoch   1 | time: 13.12s | valid loss 1.2754 | valid ppl 3.5802 | learning rate 1.2500
| end of split 200 /500 | epoch   1 | time: 12.74s | valid loss 1.2737 | valid ppl 3.5739 | learning rate 1.2500
| end of split 201 /500 | epoch   1 | time: 12.79s | valid loss 1.2711 | valid ppl 3.5647 | learning rate 1.2500
| end of split 202 /500 | epoch   1 | time: 12.73s | valid loss 1.2717 | valid ppl 3.5668 | learning rate 1.2500
| end of split 203 /500 | epoch   1 | time: 12.81s | valid loss 1.2711 | valid ppl 3.5647 | learning rate 1.2500
| end of split 204 /500 | epoch   1 | time: 12.92s | valid loss 1.2721 | valid ppl 3.5685 | learning rate 1.2500
| end of split 205 /500 | epoch   1 | time: 12.85s | valid loss 1.2678 | valid ppl 3.5530 | learning rate 0.3125
| end of split 206 /500 | epoch   1 | time: 13.20s | valid loss 1.2662 | valid ppl 3.5474 | learning rate 0.3125
